dma,Pop - Male 30 to 34 years,Pop - Male 25 to 29 years,Pop - Male 40 to 44 years,Pop - Male 35 to 39 years,Pop - Male 50 to 54 years,Pop - Male 45 to 49 years,Pop - Male 62 to 64 years,Pop - Male 55 to 59 years,Pop - Male 60 and 61 years,Pop - Male 65 and 66 years,Pop - Male 70 to 74 years,Pop - Male 67 to 69 years,Pop - Male 80 to 84 years,Pop - Male 75 to 79 years,Pop - Female,Pop - Male 85 years and over,Pop - Female 5 to 9 years,Pop - Female 10 to 14 years,Pop - Female Under 5 years,Pop - Female 15 to 17 years,Pop - Female 20 years,Pop - Female 18 and 19 years,Pop - Female 22 to 24 years,Pop - Female 21 years,Pop - Female 30 to 34 years,Pop - Female 25 to 29 years,Pop - Female 40 to 44 years,Pop - Female 35 to 39 years,Pop - Female 45 to 49 years,Pop - Female 50 to 54 years,Pop - Female 60 and 61 years,Pop - Female 55 to 59 years,Pop - Female 65 and 66 years,Pop - Female 62 to 64 years,Pop - Female 70 to 74 years,Pop - Female 67 to 69 years,Pop - Female 80 to 84 years,Pop - Female 75 to 79 years,Pop - Female 85 years and over,Pop - Male,Pop - Total,Pop - Male 5 to 9 years,Pop - Male Under 5 years,Pop - Male 15 to 17 years,Pop - Male 18 and 19 years,Pop - Male 10 to 14 years,Pop - Male 21 years,Pop - Male 20 years,Pop - Male 22 to 24 years,N Census Households,N Census Household Income 100-124,N Census Household Income 125-149,N Census Household Income 150-199,N Census Household Income 200+,Pop - Male Under 10 years,Pop - Male 10 to 19 years,Pop - Male 20 to 29 years,Pop - Male 30 to 39 years,Pop - Male 40 to 49 years,Pop - Male 50 to 59 years,Pop - Male 60 to 69 years,Pop - Male 70 to 79 years,Pop - Male 80 years and over,Pop - Female Under 10 years,Pop - Female 10 to 19 years,Pop - Female 20 to 29 years,Pop - Female 30 to 39 years,Pop - Female 40 to 49 years,Pop - Female 50 to 59 years,Pop - Female 60 to 69 years,Pop - Female 70 to 79 years,Pop - Female 80 years and over,mf_ratio,mf_ratio_Under 10 years,mf_ratio_10 to 19 years,mf_ratio_20 to 29 years,mf_ratio_30 to 39 years,mf_ratio_40 to 49 years,mf_ratio_50 to 59 years,mf_ratio_60 to 69 years,mf_ratio_70 to 79 years,mf_ratio_80 years and over,Household Income 200+_ratio
Abilene-Sweetwater,11463.0,11450.0,10118.0,10960.0,8946.0,8526.0,5576.0,9819.0,3859.0,3780.0,6827.0,4588.0,2935.0,4347.0,156527.0,2587.0,9053.0,10915.0,9750.0,6126.0,2326.0,5444.0,7367.0,2553.0,9691.0,9760.0,8575.0,9363.0,7804.0,8367.0,3569.0,9443.0,3434.0,6293.0,7277.0,5285.0,4009.0,5340.0,4783.0,162983.0,319510.0,9786.0,9780.0,6448.0,5543.0,11008.0,2607.0,2792.0,9238.0,119006.0,11026.0,7182.0,7064.0,5612.0,19566.0,22999.0,26087.0,22423.0,18644.0,18765.0,17803.0,11174.0,5522.0,18803.0,22485.0,22006.0,19054.0,16379.0,17810.0,18581.0,12617.0,8792.0,1.0412452803669654,1.0405786310695102,1.0228596842339337,1.185449422884668,1.1768132675553689,1.1382868306978449,1.053621560920831,0.9581292718368226,0.8856304985337243,0.6280709736123748,0.04715728618725106
"Albany, GA",13022.0,12936.0,12552.0,13280.0,12288.0,12368.0,7539.0,11820.0,5049.0,4168.0,8383.0,6528.0,2722.0,4962.0,208961.0,2109.0,14004.0,13638.0,12259.0,8277.0,2208.0,6437.0,7209.0,2913.0,13518.0,12689.0,12598.0,13691.0,12246.0,12579.0,5215.0,13591.0,5338.0,7814.0,9816.0,7024.0,4273.0,6754.0,4870.0,201417.0,410378.0,13421.0,13569.0,9175.0,6363.0,15532.0,2978.0,3180.0,7473.0,153187.0,12156.0,6524.0,7130.0,5393.0,26990.0,31070.0,26567.0,26302.0,24920.0,24108.0,23284.0,13345.0,4831.0,26263.0,28352.0,25019.0,27209.0,24844.0,26170.0,25391.0,16570.0,9143.0,0.9638975694029029,1.02768152914747,1.0958662528216705,1.0618729765378312,0.9666654415818295,1.0030590887135726,0.9212074894917844,0.9170178409672719,0.8053711526855764,0.528382369025484,0.0352053372675227
Albany-Schenectady-Troy,44286.0,44353.0,41907.0,42962.0,47414.0,41584.0,30139.0,50822.0,20418.0,18284.0,35573.0,24721.0,12748.0,21504.0,709807.0,12763.0,35115.0,36462.0,32635.0,23398.0,9826.0,20589.0,29513.0,9409.0,42700.0,42077.0,39165.0,44219.0,40980.0,47072.0,21142.0,51660.0,19565.0,31754.0,38746.0,26197.0,17790.0,26680.0,23113.0,698898.0,1408705.0,36888.0,34372.0,24967.0,21804.0,39865.0,9675.0,11525.0,30324.0,582008.0,61743.0,46080.0,56698.0,58133.0,71260.0,86636.0,95877.0,87248.0,83491.0,98236.0,93562.0,57077.0,25511.0,67750.0,80449.0,90825.0,86919.0,80145.0,98732.0,98658.0,65426.0,40903.0,0.9846310335062911,1.051808118081181,1.0769058658280402,1.0556234516928158,1.0037851332850125,1.0417493293405702,0.9949762994773731,0.9483468142471974,0.8723901812734999,0.6236950834902085,0.09988350675592088
Albuquerque-Santa Fe,66140.0,64316.0,60502.0,64225.0,55698.0,55125.0,38277.0,59720.0,26104.0,23006.0,47471.0,33463.0,18061.0,29311.0,975107.0,14512.0,57942.0,63443.0,50514.0,38260.0,13188.0,24729.0,33614.0,11418.0,62336.0,61087.0,58204.0,61971.0,55336.0,56298.0,27866.0,63931.0,26589.0,40293.0,50097.0,37691.0,22673.0,33034.0,24593.0,966786.0,1941893.0,59789.0,53508.0,39536.0,27042.0,67088.0,12645.0,12773.0,38474.0,748621.0,65046.0,46314.0,50809.0,48229.0,113297.0,133666.0,128208.0,130365.0,115627.0,115418.0,120850.0,76782.0,32573.0,108456.0,126432.0,119307.0,124307.0,113540.0,120229.0,132439.0,83131.0,47266.0,0.9914665775140574,1.0446356125986576,1.0572165274614023,1.0746058487766854,1.0487341823067085,1.0183811872467852,0.9599846958720442,0.9124955639954998,0.9236265653005498,0.6891423010197605,0.06442378720340466
"Alexandria, LA",8390.0,9001.0,7653.0,8265.0,6920.0,6741.0,4170.0,7330.0,3089.0,2464.0,4349.0,3391.0,1722.0,2994.0,118571.0,1532.0,7169.0,8471.0,7846.0,4684.0,1594.0,2609.0,3931.0,1951.0,7932.0,7777.0,7052.0,7477.0,6634.0,6994.0,2733.0,8065.0,2611.0,4548.0,5690.0,3699.0,2850.0,3819.0,2435.0,119306.0,237877.0,8385.0,8092.0,4865.0,3185.0,8279.0,1445.0,1887.0,5157.0,87271.0,7435.0,4903.0,4737.0,4143.0,16477.0,16329.0,17490.0,16655.0,14394.0,14250.0,13114.0,7343.0,3254.0,15015.0,15764.0,15253.0,15409.0,13686.0,15059.0,13591.0,9509.0,5285.0,1.0061988175860876,1.0973692973692974,1.0358411570667343,1.146659673506851,1.0808618339931209,1.0517316966242876,0.9462779733050003,0.9649032447943492,0.7722157955620991,0.6157048249763482,0.047472814566121624
Alpena,967.0,1039.0,924.0,1057.0,1210.0,1028.0,1237.0,1585.0,637.0,519.0,1457.0,1118.0,671.0,856.0,19600.0,470.0,937.0,905.0,843.0,583.0,183.0,370.0,531.0,119.0,897.0,946.0,961.0,909.0,1079.0,1234.0,750.0,1639.0,684.0,1158.0,1304.0,990.0,745.0,1022.0,811.0,19496.0,39096.0,946.0,828.0,670.0,357.0,925.0,246.0,218.0,531.0,17596.0,1226.0,757.0,753.0,521.0,1774.0,1952.0,2034.0,2024.0,1952.0,2795.0,3511.0,2313.0,1141.0,1780.0,1858.0,1779.0,1806.0,2040.0,2873.0,3582.0,2326.0,1556.0,0.9946938775510205,0.996629213483146,1.0505920344456405,1.1433389544688026,1.1207087486157254,0.9568627450980393,0.9728506787330317,0.980178671133445,0.9944110060189166,0.7332904884318766,0.029609002045919527
Amarillo,20298.0,20205.0,17513.0,20414.0,14979.0,16247.0,8888.0,16815.0,5904.0,5935.0,9623.0,7647.0,3856.0,6427.0,265014.0,3591.0,19299.0,20006.0,17966.0,11406.0,3410.0,7256.0,10390.0,4025.0,17372.0,17603.0,15713.0,17478.0,14238.0,14202.0,6316.0,15140.0,5821.0,9122.0,10776.0,8071.0,5497.0,7600.0,6307.0,279461.0,544475.0,20620.0,18720.0,12235.0,8376.0,20938.0,4308.0,4294.0,11628.0,198531.0,18507.0,11841.0,12739.0,10247.0,39340.0,41549.0,40435.0,40712.0,33760.0,31794.0,28374.0,16050.0,7447.0,37265.0,38668.0,35428.0,34850.0,29951.0,29342.0,29330.0,18376.0,11804.0,1.0545141011418264,1.0556822755937207,1.074506051515465,1.1413288924014904,1.168206599713056,1.1271743848285534,1.083566219071638,0.9674053869757927,0.8734218545929473,0.630887834632328,0.05161410560567367
Anchorage,18047.0,18003.0,14689.0,16317.0,13687.0,13364.0,7576.0,13963.0,6585.0,5420.0,7233.0,6570.0,2649.0,4233.0,211433.0,1780.0,14735.0,13834.0,13955.0,8518.0,2488.0,4763.0,8115.0,2513.0,16784.0,15645.0,13866.0,14948.0,12275.0,12611.0,5184.0,13743.0,5086.0,7932.0,8032.0,5977.0,3063.0,4888.0,2478.0,226484.0,437917.0,15387.0,14501.0,8751.0,5837.0,15022.0,3431.0,3474.0,9965.0,162054.0,18697.0,14051.0,19237.0,21410.0,29888.0,29610.0,34873.0,34364.0,28053.0,27650.0,26151.0,11466.0,4429.0,28690.0,27115.0,28761.0,31732.0,26141.0,26354.0,24179.0,12920.0,5541.0,1.0711856711109429,1.041756709654932,1.0920154895814125,1.2125099961753765,1.0829446615404008,1.073141807887992,1.049176595583213,1.0815583771040986,0.8874613003095976,0.7993142032124165,0.1321164550088242
Atlanta,243096.0,248151.0,234314.0,241593.0,242362.0,242077.0,115608.0,229352.0,84203.0,67790.0,124130.0,88170.0,41721.0,77577.0,3715314.0,33543.0,224557.0,249981.0,207417.0,153109.0,49136.0,100410.0,145898.0,49661.0,256457.0,254230.0,251288.0,255257.0,255404.0,250046.0,90505.0,239107.0,78039.0,129147.0,148600.0,106874.0,59985.0,99313.0,60893.0,3530563.0,7245877.0,233952.0,216508.0,158217.0,101269.0,259787.0,50224.0,49785.0,147134.0,2670089.0,268081.0,204491.0,246531.0,326361.0,450460.0,519273.0,495294.0,484689.0,476391.0,471714.0,355771.0,201707.0,75264.0,431974.0,503500.0,498925.0,511714.0,506692.0,489153.0,404565.0,247913.0,120878.0,0.950273112851296,1.0427942422460612,1.0313267130089374,0.992722353059077,0.947187296028641,0.9401983848176012,0.9643485780522658,0.8793914451324262,0.8136201005998072,0.6226443190655041,0.12222850998599673
Augusta-Aiken,24057.0,24480.0,22230.0,22920.0,21217.0,20677.0,12898.0,22870.0,10103.0,8536.0,15574.0,11037.0,5204.0,9274.0,370786.0,5403.0,22025.0,23693.0,20035.0,13732.0,4492.0,8722.0,12444.0,5362.0,24231.0,24658.0,22630.0,23797.0,21164.0,22355.0,11238.0,24515.0,9463.0,14690.0,18851.0,13300.0,8443.0,12208.0,8738.0,357405.0,728191.0,22432.0,22777.0,14504.0,11124.0,24837.0,4825.0,6141.0,14285.0,265534.0,24412.0,14810.0,17301.0,17003.0,45209.0,50465.0,49731.0,46977.0,42907.0,44087.0,42574.0,24848.0,10607.0,42060.0,46147.0,46956.0,48028.0,43794.0,46870.0,48691.0,31059.0,17181.0,0.9639117981800823,1.074869234427009,1.0935705462977008,1.0590978788653207,0.9781169317897893,0.9797460839384391,0.9406229997866439,0.8743710336612516,0.8000257574294085,0.6173680228159013,0.06403323114930667
Austin,108788.0,101263.0,97921.0,102506.0,77021.0,86521.0,36547.0,68740.0,27454.0,20636.0,38858.0,30072.0,13840.0,23247.0,1216777.0,10836.0,72548.0,77517.0,70209.0,45264.0,15687.0,33581.0,49862.0,17501.0,101631.0,95053.0,89181.0,96760.0,79719.0,72137.0,27561.0,67772.0,23556.0,39104.0,45938.0,31570.0,17056.0,27993.0,19577.0,1240426.0,2457203.0,75961.0,72496.0,47752.0,34081.0,81247.0,15776.0,16409.0,52454.0,968536.0,102629.0,82133.0,107911.0,149595.0,148457.0,163080.0,185902.0,211294.0,184442.0,145761.0,114709.0,62105.0,24676.0,142757.0,156362.0,178103.0,198391.0,168900.0,139909.0,121791.0,73931.0,36633.0,1.0194357717149485,1.039927989520654,1.0429644031158465,1.0437892680078382,1.065038232581115,1.0920189461219656,1.041827187671987,0.9418512041119623,0.840040037332107,0.673600305735266,0.1544547647170575
Bakersfield,35485.0,36893.0,28674.0,33155.0,24525.0,25897.0,12891.0,25568.0,8610.0,7791.0,12593.0,9947.0,4758.0,8632.0,443500.0,3905.0,35958.0,37961.0,32358.0,21663.0,5886.0,12714.0,20046.0,5088.0,31831.0,32901.0,27607.0,28357.0,24601.0,24007.0,9616.0,23704.0,8065.0,13782.0,13932.0,10657.0,6080.0,9691.0,6995.0,461297.0,904797.0,35796.0,33952.0,22525.0,13794.0,41013.0,5988.0,7099.0,21806.0,278212.0,26317.0,17236.0,20359.0,21529.0,69748.0,77332.0,71786.0,68640.0,54571.0,50093.0,39239.0,21225.0,8663.0,68316.0,72338.0,63921.0,60188.0,52208.0,47711.0,42120.0,23623.0,13075.0,1.0401285231116122,1.0209614146027286,1.0690370206530455,1.1230425055928412,1.140426663122217,1.0452612626417408,1.0499255936786067,0.9316001899335232,0.8984887609533082,0.6625621414913958,0.07738343421563412
Baltimore,106106.0,100744.0,89959.0,102459.0,96273.0,88187.0,57890.0,98177.0,41538.0,31861.0,59522.0,42325.0,22926.0,37563.0,1557789.0,20884.0,88291.0,92971.0,85132.0,55501.0,17059.0,38848.0,55515.0,18560.0,110985.0,102521.0,95732.0,107109.0,93283.0,102236.0,43940.0,107711.0,36496.0,61870.0,71458.0,49879.0,32119.0,50584.0,39989.0,1464115.0,3021904.0,90914.0,88358.0,58040.0,38662.0,98794.0,17454.0,18851.0,56628.0,1170341.0,123469.0,96176.0,137194.0,189909.0,179272.0,195496.0,193677.0,208565.0,178146.0,194450.0,173614.0,97085.0,43810.0,173423.0,187320.0,193655.0,218094.0,189015.0,209947.0,192185.0,122042.0,72108.0,0.9398673376176107,1.0337267836446147,1.0436472346786247,1.0001136040897471,0.9563078305684705,0.9424966272518054,0.9261861326906314,0.9033691495173921,0.7955048262073713,0.6075608809008709,0.16226809109481766
Bangor,10425.0,9952.0,9196.0,10327.0,11596.0,10563.0,8362.0,13005.0,5761.0,5437.0,10209.0,7403.0,3605.0,6631.0,174888.0,2858.0,8838.0,8058.0,7556.0,5693.0,2159.0,4362.0,4990.0,2141.0,10179.0,9481.0,9565.0,10450.0,10331.0,11900.0,5876.0,13853.0,5690.0,8407.0,10992.0,7338.0,4411.0,7117.0,5501.0,172559.0,347447.0,8861.0,7966.0,5782.0,4965.0,9042.0,2119.0,2693.0,5801.0,149151.0,13485.0,8569.0,8767.0,7491.0,16827.0,19789.0,20565.0,20752.0,19759.0,24601.0,26963.0,16840.0,6463.0,16394.0,18113.0,18771.0,20629.0,19896.0,25753.0,27311.0,18109.0,9912.0,0.9866829056310324,1.0264121019885324,1.09253022690885,1.0955729582867189,1.005962480003878,0.9931141938078005,0.955267347493496,0.9872578814397129,0.9299243470097741,0.6520379338175948,0.050224269364603655
Baton Rouge,31578.0,32577.0,28072.0,32087.0,27295.0,26418.0,16413.0,27101.0,11092.0,10906.0,16019.0,13142.0,5828.0,11073.0,471125.0,4689.0,28524.0,31166.0,28533.0,17253.0,8536.0,13684.0,22043.0,7574.0,30758.0,32483.0,26651.0,33654.0,26608.0,27402.0,12286.0,28817.0,11122.0,17691.0,19069.0,15523.0,8093.0,14526.0,9129.0,455881.0,927006.0,31402.0,29087.0,18633.0,14850.0,30292.0,6982.0,7460.0,22885.0,345504.0,33780.0,22861.0,27880.0,30688.0,60489.0,63775.0,69904.0,63665.0,54490.0,54396.0,51553.0,27092.0,10517.0,57057.0,62103.0,70636.0,64412.0,53259.0,56219.0,56622.0,33595.0,17222.0,0.9676434067391881,1.0601503759398496,1.0269230149912243,0.9896370122883515,0.9884027820902938,1.023113464390995,0.9675732403635782,0.9104764932358447,0.8064295282036017,0.6106723957728487,0.08882096878762619
Beaumont-Port Arthur,16462.0,16899.0,15458.0,15754.0,14388.0,14193.0,8252.0,15168.0,6259.0,5165.0,9209.0,6689.0,3552.0,6428.0,226666.0,2688.0,15598.0,15131.0,14271.0,9332.0,2567.0,5149.0,8343.0,2470.0,14154.0,14042.0,14265.0,13986.0,12830.0,13353.0,6147.0,14758.0,5096.0,9020.0,11029.0,6929.0,5039.0,7144.0,6013.0,233977.0,460643.0,15976.0,15014.0,9333.0,5451.0,16438.0,3864.0,3063.0,8274.0,169675.0,15474.0,10958.0,12488.0,10921.0,30990.0,31222.0,32100.0,32216.0,29651.0,29556.0,26365.0,15637.0,6240.0,29869.0,29612.0,27422.0,28140.0,27095.0,28111.0,27192.0,18173.0,11052.0,1.032254506630902,1.037530550068633,1.054369850060786,1.1705929545620304,1.1448471926083867,1.094334748108507,1.0514033652306927,0.9695866431303325,0.8604523193748969,0.5646036916395223,0.06436422572565198
"Bend, OR",6120.0,5501.0,5059.0,5956.0,5177.0,5231.0,2840.0,5399.0,2434.0,2006.0,4711.0,3613.0,1625.0,2870.0,82581.0,1356.0,4786.0,4534.0,3868.0,2823.0,686.0,1377.0,2501.0,678.0,5772.0,4623.0,5832.0,5837.0,4889.0,4877.0,2207.0,4819.0,2180.0,4115.0,5207.0,3827.0,1611.0,3293.0,2239.0,82522.0,165103.0,4895.0,4101.0,3164.0,1776.0,4806.0,709.0,614.0,2559.0,67489.0,7138.0,4711.0,6430.0,6337.0,8996.0,9746.0,9383.0,12076.0,10290.0,10576.0,10893.0,7581.0,2981.0,8654.0,8734.0,8488.0,11609.0,10721.0,9696.0,12329.0,8500.0,3850.0,0.9992855499449026,1.0395192974347123,1.1158690176322419,1.1054429783223374,1.0402274097682833,0.959798526256879,1.0907590759075907,0.883526644496715,0.8918823529411765,0.7742857142857142,0.0938967831794811
Billings,9182.0,8955.0,9664.0,8937.0,8767.0,8353.0,6407.0,9370.0,4294.0,3769.0,8031.0,5509.0,2681.0,4938.0,148012.0,2498.0,9318.0,9304.0,7830.0,5796.0,1463.0,3188.0,5031.0,1547.0,9260.0,8944.0,8956.0,9364.0,8044.0,8209.0,4693.0,9425.0,4338.0,6727.0,7564.0,5873.0,3337.0,5663.0,4138.0,147609.0,295621.0,9007.0,8433.0,5908.0,3832.0,10712.0,1809.0,1311.0,5242.0,120915.0,11486.0,8339.0,8980.0,8933.0,17440.0,20452.0,17317.0,18119.0,18017.0,18137.0,19979.0,12969.0,5179.0,17148.0,18288.0,16985.0,18624.0,17000.0,17634.0,21631.0,13227.0,7475.0,0.9972772477907197,1.0170282248658735,1.11832895888014,1.019546658816603,0.9728844501718213,1.0598235294117646,1.0285244414199841,0.9236281263002173,0.9804944431843956,0.6928428093645485,0.07387834429144441
Biloxi-Gulfport,12723.0,13158.0,11738.0,13050.0,12516.0,11881.0,6517.0,13265.0,6054.0,4313.0,8222.0,5996.0,2685.0,5555.0,202586.0,2691.0,12905.0,12986.0,11665.0,7965.0,2538.0,4569.0,7326.0,2601.0,13468.0,13322.0,12126.0,14039.0,12453.0,12423.0,5652.0,12894.0,4775.0,8464.0,10027.0,6176.0,4095.0,6362.0,3755.0,198257.0,400843.0,12448.0,12828.0,8448.0,5735.0,15282.0,2549.0,3107.0,7496.0,153159.0,13844.0,8208.0,8621.0,7281.0,25276.0,29465.0,26310.0,25773.0,23619.0,25781.0,22880.0,13777.0,5376.0,24570.0,25520.0,25787.0,27507.0,24579.0,25317.0,25067.0,16389.0,7850.0,0.9786312973255803,1.0287342287342287,1.1545846394984327,1.020281537208671,0.9369615007089105,0.9609422677895765,1.0183276059564719,0.912753819763035,0.8406248093233266,0.6848407643312102,0.047538832193994476
Binghamton,9317.0,9764.0,9373.0,9127.0,10681.0,9389.0,7500.0,12163.0,5783.0,4433.0,8862.0,6048.0,3244.0,5897.0,172160.0,3784.0,8319.0,10025.0,8432.0,5724.0,3526.0,6013.0,7445.0,2775.0,8921.0,9237.0,8258.0,9959.0,9158.0,10551.0,5400.0,12415.0,4892.0,7676.0,9204.0,5834.0,5234.0,6882.0,6280.0,170534.0,342694.0,9008.0,8358.0,6201.0,6357.0,10092.0,4348.0,3043.0,7762.0,141629.0,13825.0,8818.0,8979.0,8078.0,17366.0,22650.0,24917.0,18444.0,18762.0,22844.0,23764.0,14759.0,7028.0,16751.0,21762.0,22983.0,18880.0,17416.0,22966.0,23802.0,16086.0,11514.0,0.9905552973977695,1.0367142260163573,1.0408050730631375,1.0841491537223165,0.9769067796610169,1.077285254937988,0.9946877993555691,0.9984034955045794,0.9175059057565585,0.6103873545249262,0.057036341427250066
Birmingham (Ann And Tusc),61437.0,64292.0,60592.0,57969.0,60490.0,59973.0,37173.0,60525.0,24784.0,22604.0,39457.0,30380.0,16679.0,24965.0,1006065.0,10521.0,58056.0,60102.0,54871.0,36657.0,15173.0,30550.0,37741.0,13808.0,65346.0,64848.0,62934.0,61282.0,61668.0,61850.0,27918.0,64896.0,24467.0,38828.0,47861.0,36197.0,23940.0,34712.0,22360.0,945939.0,1952004.0,60780.0,57246.0,38034.0,28446.0,62718.0,14776.0,16308.0,35790.0,747117.0,66390.0,47358.0,50899.0,52559.0,118026.0,129198.0,131166.0,119406.0,120565.0,121015.0,114941.0,64422.0,27200.0,112927.0,127309.0,131570.0,126628.0,124602.0,126746.0,127410.0,82573.0,46300.0,0.9402364658347124,1.0451530634834894,1.0148379140516381,0.9969293911986015,0.9429668003916986,0.9676008410779924,0.9547835829138592,0.9021348402794129,0.7801823840722755,0.5874730021598272,0.07034908856310323
Bluefield-Beckley-Oak Hill,8518.0,8496.0,9072.0,9157.0,9650.0,9464.0,6544.0,9424.0,4370.0,4995.0,8841.0,6032.0,3013.0,5577.0,151503.0,2530.0,8384.0,8334.0,7456.0,5267.0,1497.0,3241.0,4530.0,1640.0,8089.0,8145.0,9366.0,8409.0,9570.0,9049.0,4777.0,9770.0,4649.0,7026.0,10208.0,6515.0,4216.0,6460.0,4905.0,148939.0,300442.0,9526.0,7816.0,5266.0,3506.0,8633.0,1505.0,2294.0,4710.0,119146.0,9327.0,4936.0,3800.0,3310.0,17342.0,17405.0,17005.0,17675.0,18536.0,19074.0,21941.0,14418.0,5543.0,15840.0,16842.0,15812.0,16498.0,18936.0,18819.0,22967.0,16668.0,9121.0,0.9830762427146658,1.0948232323232323,1.033428333927087,1.0754490260561598,1.0713419808461633,0.9788762146176595,1.013550135501355,0.9553272086036487,0.8650107991360692,0.6077184519241311,0.027781041747100197
Boise,30789.0,31408.0,30636.0,30981.0,27072.0,27966.0,14254.0,26841.0,10743.0,10130.0,18880.0,12448.0,7260.0,12105.0,437202.0,4917.0,27914.0,31812.0,25288.0,18479.0,6355.0,11675.0,14996.0,5268.0,29455.0,28813.0,29065.0,29152.0,26019.0,25688.0,10462.0,26980.0,10244.0,15815.0,19315.0,14333.0,7659.0,13892.0,8523.0,447941.0,885143.0,28482.0,26557.0,19766.0,12634.0,34227.0,6538.0,6332.0,16975.0,325082.0,34741.0,24753.0,24610.0,28823.0,55039.0,66627.0,61253.0,61770.0,58602.0,53913.0,47575.0,30985.0,12177.0,53202.0,61966.0,55432.0,58607.0,55084.0,52668.0,50854.0,33207.0,16182.0,1.0245630166376183,1.0345287771136424,1.075218668301972,1.1050115456775869,1.0539696623270258,1.063866095417907,1.0236386420596948,0.9355212962598812,0.9330863974463216,0.7525027808676307,0.08866378329160027
Boston (Manchester),244297.0,246193.0,207534.0,224573.0,228756.0,206702.0,131444.0,242599.0,92275.0,76219.0,139894.0,104327.0,52986.0,86726.0,3456073.0,51531.0,170850.0,189479.0,166332.0,118577.0,44839.0,97629.0,142570.0,43826.0,239301.0,236856.0,205468.0,223854.0,210421.0,233989.0,95091.0,248665.0,82837.0,139640.0,164752.0,113818.0,75808.0,111085.0,100386.0,3344188.0,6800261.0,181861.0,174439.0,124672.0,97406.0,197103.0,46908.0,46166.0,139577.0,2660154.0,262556.0,218988.0,324512.0,539860.0,356300.0,419181.0,478844.0,468870.0,414236.0,471355.0,404265.0,226620.0,104517.0,337182.0,405685.0,468091.0,463155.0,415889.0,482654.0,431386.0,275837.0,176194.0,0.9676265518697088,1.056699349312834,1.0332671900612544,1.0229720289430901,1.0123392816659649,0.9960253817725403,0.9765898552586325,0.9371305512928096,0.8215721603700736,0.5931927307399798,0.20294313787848373
Bowling Green,7294.0,7905.0,7073.0,7054.0,6804.0,7053.0,3761.0,7454.0,2593.0,2803.0,4807.0,2643.0,1558.0,2925.0,117607.0,1169.0,7105.0,7608.0,7135.0,4369.0,2105.0,4144.0,5700.0,2127.0,7128.0,7800.0,7143.0,7073.0,6856.0,7393.0,3551.0,6966.0,2776.0,4029.0,5061.0,3394.0,2342.0,3633.0,2169.0,114468.0,232075.0,7057.0,7142.0,4822.0,3801.0,8044.0,1996.0,2388.0,6322.0,90117.0,7275.0,5146.0,4606.0,4332.0,14199.0,16667.0,18611.0,14348.0,14126.0,14258.0,11800.0,7732.0,2727.0,14240.0,16121.0,17732.0,14201.0,13999.0,14359.0,13750.0,8694.0,4511.0,0.9733094118547365,0.997120786516854,1.0338688666956144,1.04957139634559,1.0103513837053728,1.0090720765768983,0.9929660839891358,0.8581818181818182,0.889348976305498,0.6045222788738639,0.0480708412397217
Buffalo,54177.0,53349.0,44619.0,50106.0,52222.0,45471.0,35182.0,57959.0,23063.0,21557.0,36197.0,27935.0,14011.0,22990.0,815234.0,14044.0,45634.0,43523.0,41240.0,28246.0,10165.0,21588.0,29761.0,10916.0,52175.0,50601.0,42779.0,50248.0,45441.0,52640.0,24718.0,59760.0,22261.0,35774.0,41134.0,29414.0,21147.0,28787.0,27282.0,793469.0,1608703.0,46110.0,42646.0,29892.0,22645.0,46624.0,12275.0,10556.0,29839.0,678114.0,66948.0,44611.0,51333.0,45286.0,88756.0,99161.0,106019.0,104283.0,90090.0,110181.0,107737.0,59187.0,28055.0,86874.0,93357.0,101443.0,102423.0,88220.0,112400.0,112167.0,69921.0,48429.0,0.9733021439243211,1.0216635587172227,1.0621699497627388,1.045109076032846,1.0181599835974342,1.0211970074812968,0.9802580071174377,0.9605053179633939,0.8464838889603982,0.579301658097421,0.06678228144530271
