zcta,dma
11742,New York
01001,Springfield-Holyoke
01002,Springfield-Holyoke
01003,Springfield-Holyoke
01005,Boston (Manchester)
01007,Springfield-Holyoke
01008,Springfield-Holyoke
01009,Springfield-Holyoke
01010,Springfield-Holyoke
01011,Springfield-Holyoke
01012,Springfield-Holyoke
01013,Springfield-Holyoke
01020,Springfield-Holyoke
01022,Springfield-Holyoke
01026,Springfield-Holyoke
01027,Springfield-Holyoke
01028,Springfield-Holyoke
01029,Albany-Schenectady-Troy
01030,Springfield-Holyoke
01031,Boston (Manchester)
01032,Springfield-Holyoke
01033,Springfield-Holyoke
01034,Springfield-Holyoke
01035,Springfield-Holyoke
01036,Springfield-Holyoke
01037,Boston (Manchester)
01038,Springfield-Holyoke
01039,Springfield-Holyoke
01040,Springfield-Holyoke
01050,Springfield-Holyoke
01053,Springfield-Holyoke
01054,Springfield-Holyoke
01056,Springfield-Holyoke
01057,Springfield-Holyoke
01060,Springfield-Holyoke
01062,Springfield-Holyoke
01063,Springfield-Holyoke
01066,Springfield-Holyoke
01068,Boston (Manchester)
01069,Springfield-Holyoke
01070,Springfield-Holyoke
01071,Springfield-Holyoke
01072,Springfield-Holyoke
01073,Springfield-Holyoke
01074,Boston (Manchester)
01075,Springfield-Holyoke
01077,Springfield-Holyoke
01079,Springfield-Holyoke
01080,Springfield-Holyoke
01081,Springfield-Holyoke
01082,Springfield-Holyoke
01083,Boston (Manchester)
01084,Springfield-Holyoke
01085,Springfield-Holyoke
01086,Springfield-Holyoke
01088,Springfield-Holyoke
01089,Springfield-Holyoke
01092,Boston (Manchester)
01093,Springfield-Holyoke
01094,Boston (Manchester)
01095,Springfield-Holyoke
01096,Springfield-Holyoke
01097,Springfield-Holyoke
01098,Springfield-Holyoke
01104,Springfield-Holyoke
01103,Springfield-Holyoke
01105,Springfield-Holyoke
01106,Springfield-Holyoke
01107,Springfield-Holyoke
01108,Springfield-Holyoke
01109,Springfield-Holyoke
01118,Springfield-Holyoke
01119,Springfield-Holyoke
01128,Springfield-Holyoke
01129,Springfield-Holyoke
01151,Springfield-Holyoke
01199,Springfield-Holyoke
01201,Albany-Schenectady-Troy
01220,Albany-Schenectady-Troy
01222,Albany-Schenectady-Troy
01223,Albany-Schenectady-Troy
01224,Albany-Schenectady-Troy
01225,Albany-Schenectady-Troy
01226,Albany-Schenectady-Troy
01229,Albany-Schenectady-Troy
01230,Albany-Schenectady-Troy
01235,Albany-Schenectady-Troy
01236,Albany-Schenectady-Troy
01237,Albany-Schenectady-Troy
01238,Albany-Schenectady-Troy
01240,Albany-Schenectady-Troy
01242,Albany-Schenectady-Troy
01243,Springfield-Holyoke
01244,Albany-Schenectady-Troy
01245,Albany-Schenectady-Troy
01247,Albany-Schenectady-Troy
01253,Albany-Schenectady-Troy
01254,Albany-Schenectady-Troy
01255,Albany-Schenectady-Troy
01256,Albany-Schenectady-Troy
01257,Albany-Schenectady-Troy
01258,Albany-Schenectady-Troy
01259,Albany-Schenectady-Troy
01260,Albany-Schenectady-Troy
01262,Albany-Schenectady-Troy
01264,Albany-Schenectady-Troy
01266,Albany-Schenectady-Troy
01267,Albany-Schenectady-Troy
01270,Albany-Schenectady-Troy
01301,Springfield-Holyoke
01330,Springfield-Holyoke
01331,Boston (Manchester)
01337,Springfield-Holyoke
01338,Springfield-Holyoke
01339,Springfield-Holyoke
01340,Springfield-Holyoke
01341,Springfield-Holyoke
01342,Springfield-Holyoke
01343,Albany-Schenectady-Troy
01344,Springfield-Holyoke
01346,Springfield-Holyoke
01347,Springfield-Holyoke
01349,Springfield-Holyoke
01350,Springfield-Holyoke
01351,Springfield-Holyoke
01354,Springfield-Holyoke
01355,Springfield-Holyoke
01360,Springfield-Holyoke
01364,Springfield-Holyoke
01366,Boston (Manchester)
01367,Springfield-Holyoke
01368,Boston (Manchester)
01370,Springfield-Holyoke
01373,Springfield-Holyoke
01375,Springfield-Holyoke
01376,Springfield-Holyoke
01378,Springfield-Holyoke
01379,Springfield-Holyoke
01420,Boston (Manchester)
01430,Boston (Manchester)
01431,Boston (Manchester)
01432,Boston (Manchester)
01434,Boston (Manchester)
01436,Boston (Manchester)
01438,Boston (Manchester)
01440,Boston (Manchester)
01473,Boston (Manchester)
01450,Boston (Manchester)
01451,Boston (Manchester)
01452,Boston (Manchester)
01453,Boston (Manchester)
01460,Boston (Manchester)
01462,Boston (Manchester)
01463,Boston (Manchester)
01464,Boston (Manchester)
01467,Boston (Manchester)
01468,Boston (Manchester)
01469,Boston (Manchester)
01474,Boston (Manchester)
01475,Boston (Manchester)
01501,Boston (Manchester)
01503,Boston (Manchester)
01504,Boston (Manchester)
01505,Boston (Manchester)
01506,Boston (Manchester)
01507,Boston (Manchester)
01510,Boston (Manchester)
01515,Boston (Manchester)
01516,Boston (Manchester)
01518,Boston (Manchester)
01519,Boston (Manchester)
01520,Boston (Manchester)
01521,Springfield-Holyoke
01522,Boston (Manchester)
01523,Boston (Manchester)
01524,Boston (Manchester)
01525,Boston (Manchester)
01590,Boston (Manchester)
01527,Boston (Manchester)
01529,Boston (Manchester)
01531,Boston (Manchester)
01532,Boston (Manchester)
01534,Boston (Manchester)
01535,Boston (Manchester)
01536,Boston (Manchester)
01537,Boston (Manchester)
01569,Boston (Manchester)
01540,Boston (Manchester)
01541,Boston (Manchester)
01542,Boston (Manchester)
01543,Boston (Manchester)
01545,Boston (Manchester)
01550,Boston (Manchester)
01560,Boston (Manchester)
01561,Boston (Manchester)
01562,Boston (Manchester)
01564,Boston (Manchester)
01566,Boston (Manchester)
01568,Boston (Manchester)
01570,Boston (Manchester)
01571,Boston (Manchester)
01581,Boston (Manchester)
01583,Boston (Manchester)
01585,Boston (Manchester)
01588,Boston (Manchester)
01608,Boston (Manchester)
01602,Boston (Manchester)
01603,Boston (Manchester)
01604,Boston (Manchester)
01605,Boston (Manchester)
01606,Boston (Manchester)
01607,Boston (Manchester)
01609,Boston (Manchester)
01610,Boston (Manchester)
01611,Boston (Manchester)
01612,Boston (Manchester)
01701,Boston (Manchester)
01702,Boston (Manchester)
01718,Boston (Manchester)
01719,Boston (Manchester)
01720,Boston (Manchester)
01721,Boston (Manchester)
01730,Boston (Manchester)
01731,Boston (Manchester)
01740,Boston (Manchester)
01741,Boston (Manchester)
01742,Boston (Manchester)
01745,Boston (Manchester)
01746,Boston (Manchester)
01747,Boston (Manchester)
01748,Boston (Manchester)
01749,Boston (Manchester)
01752,Boston (Manchester)
01754,Boston (Manchester)
01756,Boston (Manchester)
01757,Boston (Manchester)
01760,Boston (Manchester)
01770,Boston (Manchester)
01772,Boston (Manchester)
01773,Boston (Manchester)
01775,Boston (Manchester)
01776,Boston (Manchester)
01778,Boston (Manchester)
01801,Boston (Manchester)
01803,Boston (Manchester)
01810,Boston (Manchester)
01821,Boston (Manchester)
01824,Boston (Manchester)
01826,Boston (Manchester)
01827,Boston (Manchester)
01830,Boston (Manchester)
01832,Boston (Manchester)
01833,Boston (Manchester)
01834,Boston (Manchester)
01835,Boston (Manchester)
01840,Boston (Manchester)
01841,Boston (Manchester)
01843,Boston (Manchester)
01844,Boston (Manchester)
01845,Boston (Manchester)
01850,Boston (Manchester)
01851,Boston (Manchester)
01852,Boston (Manchester)
01854,Boston (Manchester)
01860,Boston (Manchester)
01862,Boston (Manchester)
01863,Boston (Manchester)
01864,Boston (Manchester)
01867,Boston (Manchester)
01876,Boston (Manchester)
01879,Boston (Manchester)
01880,Boston (Manchester)
01921,Boston (Manchester)
01886,Boston (Manchester)
01887,Boston (Manchester)
01890,Boston (Manchester)
01901,Boston (Manchester)
01902,Boston (Manchester)
01904,Boston (Manchester)
01905,Boston (Manchester)
01906,Boston (Manchester)
01907,Boston (Manchester)
01908,Boston (Manchester)
01913,Boston (Manchester)
01915,Boston (Manchester)
01922,Boston (Manchester)
01923,Boston (Manchester)
01929,Boston (Manchester)
01930,Boston (Manchester)
01982,Boston (Manchester)
01937,Boston (Manchester)
01938,Boston (Manchester)
01940,Boston (Manchester)
01944,Boston (Manchester)
01945,Boston (Manchester)
01949,Boston (Manchester)
01950,Boston (Manchester)
01951,Boston (Manchester)
01952,Boston (Manchester)
01960,Boston (Manchester)
01966,Boston (Manchester)
01969,Boston (Manchester)
01970,Boston (Manchester)
01983,Boston (Manchester)
01984,Boston (Manchester)
01985,Boston (Manchester)
02043,Boston (Manchester)
02019,Boston (Manchester)
02050,Boston (Manchester)
02021,Boston (Manchester)
02025,Boston (Manchester)
02026,Boston (Manchester)
02030,Boston (Manchester)
02032,Boston (Manchester)
02035,Boston (Manchester)
02038,Boston (Manchester)
02066,Boston (Manchester)
02045,Boston (Manchester)
02047,Boston (Manchester)
02048,Providence-New Bedford
02052,Boston (Manchester)
02053,Boston (Manchester)
02054,Boston (Manchester)
02056,Boston (Manchester)
02061,Boston (Manchester)
02062,Boston (Manchester)
02067,Boston (Manchester)
02093,Boston (Manchester)
02071,Boston (Manchester)
02072,Boston (Manchester)
02081,Boston (Manchester)
02090,Boston (Manchester)
02108,Boston (Manchester)
02109,Boston (Manchester)
02110,Boston (Manchester)
02111,Boston (Manchester)
02113,Boston (Manchester)
02114,Boston (Manchester)
02115,Boston (Manchester)
02116,Boston (Manchester)
02118,Boston (Manchester)
02119,Boston (Manchester)
02120,Boston (Manchester)
02121,Boston (Manchester)
02122,Boston (Manchester)
02124,Boston (Manchester)
02125,Boston (Manchester)
02126,Boston (Manchester)
02127,Boston (Manchester)
02128,Boston (Manchester)
02129,Boston (Manchester)
02130,Boston (Manchester)
02131,Boston (Manchester)
02132,Boston (Manchester)
02134,Boston (Manchester)
02135,Boston (Manchester)
02136,Boston (Manchester)
02138,Boston (Manchester)
02139,Boston (Manchester)
02140,Boston (Manchester)
02141,Boston (Manchester)
02142,Boston (Manchester)
02143,Boston (Manchester)
02144,Boston (Manchester)
02145,Boston (Manchester)
02148,Boston (Manchester)
02149,Boston (Manchester)
02150,Boston (Manchester)
02151,Boston (Manchester)
02152,Boston (Manchester)
02155,Boston (Manchester)
02163,Boston (Manchester)
02169,Boston (Manchester)
02170,Boston (Manchester)
02171,Boston (Manchester)
02176,Boston (Manchester)
02180,Boston (Manchester)
02184,Boston (Manchester)
02186,Boston (Manchester)
02188,Boston (Manchester)
02189,Boston (Manchester)
02190,Boston (Manchester)
02191,Boston (Manchester)
02199,Boston (Manchester)
02203,Boston (Manchester)
02210,Boston (Manchester)
02215,Boston (Manchester)
02301,Boston (Manchester)
02302,Boston (Manchester)
02322,Boston (Manchester)
02324,Boston (Manchester)
02359,Boston (Manchester)
02330,Boston (Manchester)
02332,Boston (Manchester)
02333,Boston (Manchester)
02356,Providence-New Bedford
02338,Boston (Manchester)
02339,Boston (Manchester)
02341,Boston (Manchester)
02343,Boston (Manchester)
02346,Boston (Manchester)
02360,Boston (Manchester)
02347,Boston (Manchester)
02351,Boston (Manchester)
02357,Providence-New Bedford
02364,Boston (Manchester)
02366,Boston (Manchester)
02367,Boston (Manchester)
02368,Boston (Manchester)
02370,Boston (Manchester)
02375,Providence-New Bedford
02379,Boston (Manchester)
02382,Boston (Manchester)
02420,Boston (Manchester)
02421,Boston (Manchester)
02445,Boston (Manchester)
02446,Boston (Manchester)
02451,Boston (Manchester)
02452,Boston (Manchester)
02453,Boston (Manchester)
02472,Boston (Manchester)
02457,Boston (Manchester)
02458,Boston (Manchester)
02459,Boston (Manchester)
02460,Boston (Manchester)
02461,Boston (Manchester)
02462,Boston (Manchester)
02464,Boston (Manchester)
02465,Boston (Manchester)
02466,Boston (Manchester)
02467,Boston (Manchester)
02468,Boston (Manchester)
02474,Boston (Manchester)
02476,Boston (Manchester)
02478,Boston (Manchester)
02481,Boston (Manchester)
02482,Boston (Manchester)
02492,Boston (Manchester)
02493,Boston (Manchester)
02494,Boston (Manchester)
02532,Boston (Manchester)
02534,Boston (Manchester)
02535,Boston (Manchester)
02536,Boston (Manchester)
02537,Boston (Manchester)
02538,Boston (Manchester)
