"zip_code","dma_code","dma_description","dma_description_clean"
"76861","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76435","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79527","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79567","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79510","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79601","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79604","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79605","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79506","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79562","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76875","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79699","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79546","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79602","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79547","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76845","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76443","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76471","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79505","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76429","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79566","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76432","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79508","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76388","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79521","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79526","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79603","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79519","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76469","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76424","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76491","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79561","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79698","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79563","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76873","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79545","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76888","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76464","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76865","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79517","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79516","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79512","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79565","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79502","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79504","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76828","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79501","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76827","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76834","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79541","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79544","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79543","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79548","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76466","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"76857","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79503","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
"79560","662","ABILENE - SWEETWATER","Abilene-Sweetwater"
